priority_rank,status,meta_id,publication_date_local,local_time,caption,interactions,reactions,comments,shares,asset_ref_known,next_evidence_needed,score
24,Needs_Asset_Match,1036844829507460_122134147251072582,2026-06-28,,A pesar de mi dislexia voy a lograr todo #UniverseSentMe #humor #dislexia,171,118,3,50,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",280
25,Needs_Asset_Match,1036844829507460_122130196011072582,2026-06-13,,Alguna ligueme... Yo no sé 😔,164,120,2,42,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",254
26,Needs_Asset_Match,1036844829507460_122129404893072582,2026-06-11,,Y si... u.u Universe Sent Me,155,135,1,19,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",196
47,Needs_Asset_Match,1036844829507460_122125528653072582,2026-06-01,,#universesentme #bonita,35,26,1,8,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",54
60,Needs_Asset_Match,1036844829507460_122129952933072582,2026-06-12,,Que es lo más valioso que te has encontrado en la calle? Yo un Bop It de R2-D2 Universe Sent Me,27,19,4,4,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",47
67,Needs_Asset_Match,1036844829507460_122130216549072582,2026-06-13,,🤔,23,15,2,6,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",41
61,Needs_Asset_Match,1036844829507460_122130232503072582,2026-06-13,,🫠🫠,27,24,1,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",34
98,Needs_Asset_Match,1036844829507460_122134608507072582,2026-06-30,,Ya le entendí a la vida banda... #universesentme #merlin #fifaworldcup,14,9,3,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",27
72,Needs_Asset_Match,1036844829507460_122128512777072582,2026-06-09,,Consejo del día,20,18,1,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",25
64,Needs_Asset_Match,1036844829507460_122127661851072582,2026-06-06,,,24,24,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",24
74,Needs_Asset_Match,1036844829507460_122125544019072582,2026-06-01,,#universesentme #relatable #fblifestyle #vidareal #rockstar,18,16,0,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",22
95,Needs_Asset_Match,1036844829507460_122127916017072582,2026-06-07,,,14,11,2,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",22
75,Needs_Asset_Match,1036844829507460_122129015739072582,2026-06-10,,🫠🫠🫠 #universesentme #relatable #vidareal #insight,18,16,0,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",22
120,Needs_Asset_Match,1036844829507460_122134065975072582,2026-06-27,,#universesentme #vidareal #destiny,10,6,3,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",21
87,Needs_Asset_Match,1036844829507460_122125520661072582,2026-06-01,,"Yo esperando que se haga tarde ➡ Síguenos o si no ""𝒎𝒊𝒄𝒉𝒊𝒔 𝒎𝒊𝒂𝒖𝒔"" va llorar... 😳 #UniverseSentMe #CrisisExistencial #Fblifestyle #relatable #Despertar #NoMeArrepiento #whatif #VidaReal #Amanecer #rockstar",15,13,1,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",20
93,Needs_Asset_Match,1036844829507460_122125547121072582,2026-06-01,,Cómo no vas a poder... si hay flores rompiendo el pavimento! #EvolucionPersonal #UniverseSentMe #aesthetic #Rockstar #DespertarCosmico #illustration,14,12,1,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",19
101,Needs_Asset_Match,1036844829507460_122127654273072582,2026-06-06,,,12,9,0,3,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",18
137,Needs_Asset_Match,1036844829507460_122132558535072582,2026-06-21,,🤭🤭 #UniverseSentMe #cosasquepasan #tiktok #YOMismo,8,4,2,2,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",18
108,Needs_Asset_Match,1036844829507460_122128989885072582,2026-06-10,,😣😣🫠,11,9,2,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",17
99,Needs_Asset_Match,1036844829507460_122130329817072582,2026-06-14,,Piensalo bien... #universesentme #fun #humorácido #humornegro,13,12,0,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",15
