Fecha,Día,Hora,Tipo_Contenido,Archivo,Estado,Contexto_Nota,Experiment_ID,Mother_Day_Check,Caption_Propuesto,Tipo_Copy,Instagram_Decision,Instagram_Motivo
2026-08-17,Lunes,10:00,Reuse_Top,260633 - Universe.png,Propuesto,historial mayo; revisar contexto antes de programar,EXP-2026-08-CAL-01,No_Día_de_la_Madre,😮‍💨 #UniverseSentMe,Emoji_Minimo,FB + IG selectivo,Universe; top-ranked reuse; test image on IG only if account is connected.
2026-08-17,Lunes,11:00,Nueva,,PENDIENTE_GENERAR,Dejar vacío hasta generar y aprobar meme nuevo; no rellenar con reuse improvisado,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — 1–2 emojis que reaccionen al remate visual; no repetir el texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-17,Lunes,13:30,Nueva,,PENDIENTE_GENERAR,Dejar vacío hasta generar y aprobar meme nuevo; no rellenar con reuse improvisado,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — 1–2 emojis que reaccionen al remate visual; no repetir el texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-17,Lunes,16:00,Reuse_Top,260642 - Universe+Wilfred.png,Propuesto,historial mayo; revisar contexto antes de programar,EXP-2026-08-CAL-01,No_Día_de_la_Madre,😶‍🌫️ #UniverseSentMe,Emoji_Minimo,FB,Cross-post only after first IG test is measured.
2026-08-17,Lunes,17:00,Nueva,,PENDIENTE_GENERAR,Dejar vacío hasta generar y aprobar meme nuevo; no rellenar con reuse improvisado,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — 1–2 emojis que reaccionen al remate visual; no repetir el texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-17,Lunes,19:00,Nueva,,PENDIENTE_GENERAR,Nuevo slot añadido por expansión de frecuencia; reservar para meme nuevo y evaluar tono nocturno.,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — 1–2 emojis que reaccionen al remate visual; no repetir el texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-18,Martes,10:00,Nueva,,PENDIENTE_GENERAR,Dejar vacío hasta generar y aprobar meme nuevo; no rellenar con reuse improvisado,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — 1–2 emojis que reaccionen al remate visual; no repetir el texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-18,Martes,11:00,Nueva,,PENDIENTE_GENERAR,Dejar vacío hasta generar y aprobar meme nuevo; el reuse manual queda en reserva para una futura rotación,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — 1–2 emojis que reaccionen al remate visual; no repetir el texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-18,Martes,13:30,Nueva,,PENDIENTE_GENERAR,Dejar vacío hasta generar y aprobar meme nuevo; no rellenar con reuse improvisado,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — 1–2 emojis que reaccionen al remate visual; no repetir el texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-18,Martes,16:00,Nueva,,PENDIENTE_GENERAR,Dejar vacío hasta generar y aprobar meme nuevo; no rellenar con reuse improvisado,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — 1–2 emojis que reaccionen al remate visual; no repetir el texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-18,Martes,17:00,Reuse_Top,260644 - Universe.png,Propuesto,historial mayo; revisar contexto antes de programar,EXP-2026-08-CAL-01,No_Día_de_la_Madre,😒 #UniverseSentMe,Emoji_Minimo,FB + IG selectivo,Clean reaction format; suitable for a small IG image test.
2026-08-18,Martes,19:00,Nueva,,PENDIENTE_GENERAR,Nuevo slot añadido por expansión de frecuencia; reservar para meme nuevo y evaluar tono nocturno.,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — 1–2 emojis que reaccionen al remate visual; no repetir el texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-19,Miércoles,10:00,Reuse_Top,260515 - Universe.png,Propuesto,historial mayo; revisar contexto antes de programar,EXP-2026-08-CAL-01,No_Día_de_la_Madre,🫠 #UniverseSentMe,Emoji_Minimo,FB + IG selectivo,Relatable Universe piece; candidate for image test.
2026-08-19,Miércoles,11:00,Nueva,,PENDIENTE_GENERAR,Dejar vacío hasta generar y aprobar meme nuevo; no rellenar con reuse improvisado,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — 1–2 emojis que reaccionen al remate visual; no repetir el texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-19,Miércoles,13:30,Reuse_Top,260560 - Fantasma.png,Propuesto,historial mayo; revisar contexto antes de programar,EXP-2026-08-CAL-01,No_Día_de_la_Madre,Esperando octubre… 👻 #UniverseSentMe,Frase_Corta,FB + IG prioritario,Fantasma has documented traction; strongest IG image candidate.
2026-08-19,Miércoles,16:00,Nueva,,PENDIENTE_GENERAR,Dejar vacío hasta generar y aprobar meme nuevo; no rellenar con reuse improvisado,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — 1–2 emojis que reaccionen al remate visual; no repetir el texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-19,Miércoles,17:00,Nueva,,PENDIENTE_GENERAR,Dejar vacío hasta generar y aprobar meme nuevo; no rellenar con reuse improvisado,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — 1–2 emojis que reaccionen al remate visual; no repetir el texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-19,Miércoles,19:00,Nueva,,PENDIENTE_GENERAR,Nuevo slot añadido por expansión de frecuencia; reservar para meme nuevo y evaluar tono nocturno.,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — 1–2 emojis que reaccionen al remate visual; no repetir el texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-20,Jueves,10:00,Nueva,,PENDIENTE_GENERAR,Dejar vacío hasta generar y aprobar meme nuevo; no rellenar con reuse improvisado,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — 1–2 emojis que reaccionen al remate visual; no repetir el texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
