priority_rank,status,meta_id,publication_date_local,local_time,caption,interactions,reactions,comments,shares,asset_ref_known,next_evidence_needed
1,Reconciled,1036844829507460_122134136793072582,2026-06-28,,Me da miedo ser el malo de la historia... #UniverseSentMe #vidareal #pazmental #humor #memes,1308,912,4,392,2607825 - Kael - Ser el malo de la historia  (28-jun-26),"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
2,Visual_Confirmed,1036844829507460_122130287907072582,2026-06-14,,No sean asi.. 😆,1181,985,8,188,260646 - No sean asi.. (14-jun-26),"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
3,Reconciled,1036844829507460_122132599809072582,2026-06-21,,El gato: 😧 #UniverseSentMe #cosasquepasan #vidagatuna,1128,999,2,127,2607792 - fantasma+Universe - El gato ;o (21-jun-26),"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
4,Reconciled,1036844829507460_122128723341072582,2026-06-09,,yo Aura Fuerte 😏,1127,896,20,211,260733 - Evan - Yo aura fuerte (10-jun-26),"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
5,User_Confirmed,1036844829507460_122134374249072582,2026-06-29,,😏,1069,858,11,200,2607837,User visual/editorial confirmation recorded; Asset_Ref or CNT may remain pending.
6,Reconciled,1036844829507460_122132690157072582,2026-06-22,,a ver... a ver... 🤨 #UniverseSentMe #vidagatuna #cosasquepasan #vidareal,975,696,2,277,2607794 - Universe - Aver.. A ver... (22-jun-26),"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
7,Visual_Confirmed,1036844829507460_122129214813072582,2026-06-11,,😎,924,696,14,214,260740,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
8,Reconciled,1036844829507460_122129013585072582,2026-06-10,,🤡,785,509,13,263,260735 - Universe  - dentro de ti hay dos payasos (10-jun-26),"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
9,Visual_Confirmed,1036844829507460_122129231601072582,2026-06-11,,o pedir follows 🫣,547,327,8,212,260747,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
10,Visual_Confirmed,1036844829507460_122134070943072582,2026-06-27,,😎,547,348,0,199,2607824,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
11,User_Confirmed,1036844829507460_122130302793072582,2026-06-14,,😏 obvio...,529,443,28,58,260757 - Maeve -  Estas seguro¿ (14-jun-26),User visual/editorial confirmation recorded; Asset_Ref or CNT may remain pending.
12,Visual_Confirmed,1036844829507460_122134161303072582,2026-06-28,,Ya le entendí a la vida banda. #UniverseSentMe #humoracido #villano #fyp #revelacion,521,333,3,185,2607828,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
13,Visual_Confirmed,1036844829507460_122131482621072582,2026-06-17,,🫣🫣🫣,497,435,9,53,260775,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
14,Visual_Confirmed,1036844829507460_122132344029072582,2026-06-20,,🫣🫣🫣,460,364,11,85,2607783,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
15,Visual_Confirmed,1036844829507460_122132365443072582,2026-06-20,,🫣🫣,394,321,3,70,2607787,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
16,Visual_Confirmed,1036844829507460_122133575895072582,2026-06-26,,😎,393,301,5,87,2607816,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
17,Visual_Confirmed,1036844829507460_122134061121072582,2026-06-27,,😎😎😎,393,267,27,99,2607823,"Photo object, Meta post and visual image match confirmed; CNT assignment pending."
