priority_rank,meta_id,date,interactions,shares,comments,utility_class,visual_character_observation,character_hypothesis,cell_relevance,recommended_action,confidence,notes,approval_status,approval_by,approval_date,approval_scope
24,1036844829507460_122134147251072582,2026-06-28,171,50,3,Format_Control,No character; floating-island/cloud text composition.,None,None,Keep_Reserve,High,High performance but no character evidence.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
25,1036844829507460_122130196011072582,2026-06-13,164,42,2,Character_Review,Small cat with glasses paired with a muscular cat transformation.,Universe visual candidate,Transformation_University_Candidate,Analyze_Character_No_CNT,High,Priority character signal; asset match still absent.,Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
47,1036844829507460_122125528653072582,2026-06-01,35,8,1,Format_Control,Nature photograph with overlaid text; no character.,None,None,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
60,1036844829507460_122129952933072582,2026-06-12,27,4,4,Format_Control,Two generic human figures in a relational scene; no named marker.,Unknown human pair,Relational_Control,Keep_Reserve,Medium,Do not map to canon characters.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
61,1036844829507460_122130232503072582,2026-06-13,27,2,1,Format_Control,Sexual infographic with body-part labels; no recurring character.,None,Sexual_Control,Keep_Reserve,High,"Content control, not character evidence.",Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
64,1036844829507460_122127661851072582,2026-06-06,24,0,0,Format_Control,Night road photograph with text; no character.,None,None,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
67,1036844829507460_122130216549072582,2026-06-13,23,6,2,Format_Control,Sexual infographic with labels; no recurring character.,None,Sexual_Control,Keep_Reserve,High,"Content control, not character evidence.",Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
72,1036844829507460_122128512777072582,2026-06-09,20,1,1,Format_Control,Sky photograph with text; no character.,None,None,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
74,1036844829507460_122125544019072582,2026-06-01,18,2,0,Character_Review,Bearded red-hatted forest gnome casting a spell.,Wilfred visual candidate,Personaje_Marcador,Analyze_Character_No_CNT,Medium,Strong visual continuity candidate; low-volume post.,Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
75,1036844829507460_122129015739072582,2026-06-10,18,2,0,Format_Control,Landscape photograph with caption; no character.,None,None,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
87,1036844829507460_122125520661072582,2026-06-01,15,1,1,Character_Review,Cat with glasses lying in clouds.,Universe visual candidate,Personaje_Marcador,Analyze_Character_No_CNT,High,Glasses are a visual marker but not a CNT assignment.,Approved_Character_Analysis,Fernando,2026-08-21,Selective_character_analysis_only; no CNT; no canon; no calendar
93,1036844829507460_122125547121072582,2026-06-01,14,1,1,Format_Control,Cosmic stone/platform with motivational text; no recurring character.,None,None,Keep_Reserve,High,Format control.,Reserve_Not_Approved,,,No character analysis until a concrete question reopens the case
