Experiment_ID,Wave,Family_ID,Family_Name,Hypothesis_ID,Case_Number,Caption_Treatment,Format,Asset_Ref,Meta_ID,Planned_Date,Planned_Hour,Actual_Hour,P0_Eligible,Affiliate_Attachment,Reuse_Status,Visual_Identity_Confirmed,Canon_Impact,Primary_Metric,Status,Approval
EXP-2026-08-FAM01-W1,Wave_1_Signal,FAM-01,Difusión_Minimal,H-AUG-FAM01,1,caption_minimo,Facebook_Image,TBD,TBD,TBD,18:00,TBD,No,No,New_Test,TBD,None,Shares,Draft,Pending
EXP-2026-08-FAM01-W1,Wave_1_Signal,FAM-01,Difusión_Minimal,H-AUG-FAM01,2,caption_refuerzo,Facebook_Image,TBD,TBD,TBD,20:00,TBD,No,No,New_Test,TBD,None,Shares,Draft,Pending
EXP-2026-08-FAM01-W1,Wave_1_Signal,FAM-01,Difusión_Minimal,H-AUG-FAM01,3,caption_conversacional,Facebook_Image,TBD,TBD,TBD,22:00,TBD,No,No,New_Test,TBD,None,Shares,Draft,Pending
EXP-2026-08-FAM02-W1,Wave_1_Signal,FAM-02,Relatable_Social,H-AUG-FAM02,1,caption_minimo,Facebook_Image,TBD,TBD,TBD,20:00,TBD,No,No,New_Test,TBD,None,Shares,Draft,Pending
EXP-2026-08-FAM02-W1,Wave_1_Signal,FAM-02,Relatable_Social,H-AUG-FAM02,2,caption_refuerzo,Facebook_Image,TBD,TBD,TBD,22:00,TBD,No,No,New_Test,TBD,None,Shares,Draft,Pending
EXP-2026-08-FAM02-W1,Wave_1_Signal,FAM-02,Relatable_Social,H-AUG-FAM02,3,caption_conversacional,Facebook_Image,TBD,TBD,TBD,18:00,TBD,No,No,New_Test,TBD,None,Shares,Draft,Pending
EXP-2026-08-FAM03-W1,Wave_1_Signal,FAM-03,Conversación_Relacional,H-AUG-FAM03,1,caption_minimo,Facebook_Image,TBD,TBD,TBD,22:00,TBD,No,No,New_Test,TBD,None,Comments_Replies,Draft,Pending
EXP-2026-08-FAM03-W1,Wave_1_Signal,FAM-03,Conversación_Relacional,H-AUG-FAM03,2,caption_refuerzo,Facebook_Image,TBD,TBD,TBD,18:00,TBD,No,No,New_Test,TBD,None,Comments_Replies,Draft,Pending
EXP-2026-08-FAM03-W1,Wave_1_Signal,FAM-03,Conversación_Relacional,H-AUG-FAM03,3,caption_conversacional,Facebook_Image,TBD,TBD,TBD,20:00,TBD,No,No,New_Test,TBD,None,Comments_Replies,Draft,Pending
EXP-2026-08-FAM04-W1,Wave_1_Signal,FAM-04,Ácido_Interpersonal,H-AUG-FAM04,1,caption_minimo,Facebook_Image,TBD,TBD,TBD,14:00,TBD,No,No,New_Test,TBD,None,Shares,Draft,Pending
EXP-2026-08-FAM04-W1,Wave_1_Signal,FAM-04,Ácido_Interpersonal,H-AUG-FAM04,2,caption_refuerzo,Facebook_Image,TBD,TBD,TBD,18:00,TBD,No,No,New_Test,TBD,None,Shares,Draft,Pending
EXP-2026-08-FAM04-W1,Wave_1_Signal,FAM-04,Ácido_Interpersonal,H-AUG-FAM04,3,caption_conversacional,Facebook_Image,TBD,TBD,TBD,20:00,TBD,No,No,New_Test,TBD,None,Shares,Draft,Pending
EXP-2026-08-FAM05-W1,Wave_1_Signal,FAM-05,Personaje_Marcador,H-AUG-FAM05,1,caption_minimo,Facebook_Image,TBD,TBD,TBD,16:00,TBD,No,No,New_Test,TBD,None,Shares,Draft,Pending
EXP-2026-08-FAM05-W1,Wave_1_Signal,FAM-05,Personaje_Marcador,H-AUG-FAM05,2,caption_refuerzo,Facebook_Image,TBD,TBD,TBD,14:00,TBD,No,No,New_Test,TBD,None,Shares,Draft,Pending
EXP-2026-08-FAM05-W1,Wave_1_Signal,FAM-05,Personaje_Marcador,H-AUG-FAM05,3,caption_conversacional,Facebook_Image,TBD,TBD,TBD,22:00,TBD,No,No,New_Test,TBD,None,Shares,Draft,Pending
