Fecha,Día,Hora,Tipo_Contenido,Archivo,Estado,Contexto_Nota,Experiment_ID,Mother_Day_Check,Caption_Propuesto,Tipo_Copy,Instagram_Decision,Instagram_Motivo
2026-08-17,Lunes,10:00,Reuse_Top,260633 - Universe.png,Propuesto,historial mayo; revisar contexto antes de programar,EXP-2026-08-CAL-01,No_Día_de_la_Madre,😮‍💨 #UniverseSentMe,Emoji_Minimo,FB + IG selectivo,Universe; top-ranked reuse; test image on IG only if account is connected.
2026-08-17,Lunes,11:00,Nueva,2608028 - Universe -  El amor esta en todos lados.png,Candidato,Relacional ligero; media mañana. Asignación visual propuesta; requiere aprobación antes de producción/programación.,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — definir después de aprobar el asset visual; no repetir texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-17,Lunes,13:30,Nueva,2608034- Elara - uno debe ser chismoso.jpeg,Candidato,Chisme/observación; mediodía. Asignación visual propuesta; requiere aprobación antes de producción/programación.,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — definir después de aprobar el asset visual; no repetir texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-17,Lunes,16:00,Reuse_Top,260642 - Universe+Wilfred.png,Propuesto,historial mayo; revisar contexto antes de programar,EXP-2026-08-CAL-01,No_Día_de_la_Madre,😶‍🌫️ #UniverseSentMe,Emoji_Minimo,FB,Cross-post only after first IG test is measured.
2026-08-17,Lunes,17:00,Nueva,2608027.jpeg,Candidato,Humor ácido existencial; tarde. Asignación visual propuesta; requiere aprobación antes de producción/programación.,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — definir después de aprobar el asset visual; no repetir texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-17,Lunes,19:00,Nueva,2608029 - Wilfred - Quiero loquiar.jpeg,Candidato,Contexto nocturno explícito; noche. Asignación visual propuesta; requiere aprobación antes de producción/programación.,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — definir después de aprobar el asset visual; no repetir texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-18,Martes,10:00,Nueva,2608038- Ganso - Mejor pudriendome en dinero.jpeg,Candidato,Humor aspiracional; mañana. Asignación visual propuesta; requiere aprobación antes de producción/programación.,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — definir después de aprobar el asset visual; no repetir texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-18,Martes,11:00,Nueva,2608046 - Universe - Mis firmas no se parecen.jpeg,Candidato,Absurdismo visual; media mañana. Asignación visual propuesta; requiere aprobación antes de producción/programación.,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — definir después de aprobar el asset visual; no repetir texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-18,Martes,13:30,Nueva,2608050 - Universe - A ponerse en forma.jpeg,Candidato,Automejora/relatable; mediodía. Asignación visual propuesta; requiere aprobación antes de producción/programación.,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — definir después de aprobar el asset visual; no repetir texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
2026-08-18,Martes,16:00,Nueva,2608052 - Evan - Yo confiando en Google Maps.jpeg,Candidato,Situacional/absurdo; tarde. Asignación visual propuesta; requiere aprobación antes de producción/programación.,EXP-2026-08-CAL-01,No_Día_de_la_Madre,PENDIENTE — definir después de aprobar el asset visual; no repetir texto de la imagen.,Emoji_Minimo_Por_Definir,FB primero,"El asset aún no existe; decidir IG después de revisar legibilidad, formato y riesgo editorial."
