Reconciliation_Queue_ID,Priority_Rank,Review_Tier,Reel_Record_ID,Platform_Content_ID,Meta_Reel_ID,Publication_UTC,Permalink_URL,Engagement,Title_or_Caption,Character,Current_Asset_Status,Priority_Reason,Next_Evidence_Source,Decision_Status,Notes
RAQ-001,1,Tier_1,REEL-076,1036844829507460_122125528653072582,1020271167128162,2026-06-01T16:08:45+0000,https://www.facebook.com/reel/1020271167128162/,35,#universesentme #bonita,Sin_clasificar,Pending_Drive_or_local_asset_match,High_interaction_priority,Drive_root_and_subfolders; local/shared project assets; visual review if needed,Reviewed_No_Match_In_TOP5,Five Drive candidates visually checked; continue only if a broader Drive/local search is justified.
RAQ-002,2,Tier_1,REEL-086,1036844829507460_122127661851072582,1303110198700919,2026-06-07T00:31:38+0000,https://www.facebook.com/reel/1303110198700919/,24,,Sin_clasificar,Pending_Drive_or_local_asset_match,High_interaction_priority|Caption_empty_visual_review_needed,Drive_root_and_subfolders; local/shared project assets; visual review if needed,Reviewed_No_Match_In_TOP5,Five Drive candidates visually checked; continue only if a broader Drive/local search is justified.
RAQ-003,3,Tier_1,REEL-089,1036844829507460_122128512777072582,1014879604586494,2026-06-09T15:36:25+0000,https://www.facebook.com/reel/1014879604586494/,20,Consejo del día,Sin_clasificar,Pending_Drive_or_local_asset_match,High_interaction_priority,Drive_root_and_subfolders; local/shared project assets; visual review if needed,Reviewed_No_Match_In_TOP5,Five Drive candidates visually checked; continue only if a broader Drive/local search is justified.
RAQ-004,4,Tier_1,REEL-070,1036844829507460_122123203887072582,4244177002465660,2026-05-23T16:30:34+0000,https://www.facebook.com/reel/4244177002465660/,19,"Esa gente que me cae mal y no me habla, me cae bien ✨",Sin_clasificar,Pending_Drive_or_local_asset_match,High_interaction_priority,Drive_root_and_subfolders; local/shared project assets; visual review if needed,Reviewed_No_Match_In_TOP5,Five Drive candidates visually checked; continue only if a broader Drive/local search is justified.
RAQ-005,5,Tier_1,REEL-075,1036844829507460_122125202205072582,1314043717583273,2026-06-01T03:35:20+0000,https://www.facebook.com/reel/1314043717583273/,19,Se te nota...,Sin_clasificar,Pending_Drive_or_local_asset_match,High_interaction_priority,Drive_root_and_subfolders; local/shared project assets; visual review if needed,Reviewed_No_Match_In_TOP5,Five Drive candidates visually checked; continue only if a broader Drive/local search is justified.
RAQ-006,6,Tier_1,REEL-077,1036844829507460_122125544019072582,1906363553379974,2026-06-01T18:52:17+0000,https://www.facebook.com/reel/1906363553379974/,18,#universesentme #relatable #fblifestyle #vidareal #rockstar,Sin_clasificar,Pending_Drive_or_local_asset_match,High_interaction_priority,Drive_root_and_subfolders; local/shared project assets; visual review if needed,Reviewed_No_Match_In_NEXT10_Primary,Wilfred potion family reviewed; standing Wilfred Reel and crouched potion source are different scenes.
RAQ-007,7,Tier_1,REEL-090,1036844829507460_122129015739072582,991640670312120,2026-06-10T21:16:01+0000,https://www.facebook.com/reel/991640670312120/,18,🫠🫠🫠 #universesentme #relatable #vidareal #insight,Sin_clasificar,Pending_Drive_or_local_asset_match,High_interaction_priority,Drive_root_and_subfolders; local/shared project assets; visual review if needed,Reviewed_No_Match_In_NEXT10_Primary,"Catedral image reviewed; street/cathedral, sky, person, and overlay differ from the Reel."
RAQ-008,8,Tier_1,REEL-055,1036844829507460_122117504565072582,1357137352923823,2026-05-02T22:00:59+0000,https://www.facebook.com/reel/1357137352923823/,14,🥴🥴,Sin_clasificar,Pending_Drive_or_local_asset_match,High_interaction_priority,Drive_root_and_subfolders; local/shared project assets; visual review if needed,Reviewed_No_Match_In_NEXT10_Primary,Fantasma source reviewed; Reel is a highway POV and not the forest ghost.
RAQ-009,9,Tier_1,REEL-058,1036844829507460_122117701161072582,26858527637139429,2026-05-04T15:53:01+0000,https://www.facebook.com/reel/26858527637139429/,14,#UniverseSentMe #vidareal,Sin_clasificar,Pending_Drive_or_local_asset_match,High_interaction_priority,Drive_root_and_subfolders; local/shared project assets; visual review if needed,Reviewed_No_Match_In_NEXT10_Primary,Fantasma source reviewed; Reel is a blue-sky/cloud meme and not the forest ghost.
RAQ-010,10,Tier_1,REEL-087,1036844829507460_122127916017072582,1788853558497930,2026-06-07T16:51:25+0000,https://www.facebook.com/reel/1788853558497930/,14,,Sin_clasificar,Pending_Drive_or_local_asset_match,High_interaction_priority|Caption_empty_visual_review_needed,Drive_root_and_subfolders; local/shared project assets; visual review if needed,Reviewed_No_Match_In_NEXT10_Primary,Universe Real 005 reviewed; Reel is the static fairy/gnome spiritual-friends illustration.
RAQ-011,11,Tier_1,REEL-061,1036844829507460_122118702813072582,1379496217270226,2026-05-07T16:17:15+0000,https://www.facebook.com/reel/1379496217270226/,13,Me has dado muchos besos.. ✨,Sin_clasificar,Pending_Drive_or_local_asset_match,High_interaction_priority,Drive_root_and_subfolders; local/shared project assets; visual review if needed,Reviewed_No_Match_In_NEXT10_Primary,Fantasma source reviewed; Reel is the stream/roots scene.
