Fecha,Día,Hora,Archivo,Estado,Contexto_Nota,Caption_Propuesto,Tipo_Copy,Experiment_ID,Asset_Estado_Operativo
2026-08-17,Lunes,11:00,2608028 - Universe -  El amor esta en todos lados.png,Programado,Relacional ligero; media mañana. Asignación visual propuesta; requiere aprobación antes de producción/programación.,🥰🌎😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-17,Lunes,13:30,2608034- Elara - uno debe ser chismoso.jpeg,Programado,Chisme/observación; mediodía. Asignación visual propuesta; requiere aprobación antes de producción/programación.,👀🤫🃏,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-17,Lunes,17:00,2608027.jpeg,Programado,Humor ácido existencial; tarde. Asignación visual propuesta; requiere aprobación antes de producción/programación.,😮‍💨😵‍💫😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-17,Lunes,19:00,2608029 - Wilfred - Quiero loquiar.jpeg,Programado,Contexto nocturno explícito; noche. Asignación visual propuesta; requiere aprobación antes de producción/programación.,🌲🤪😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-18,Martes,11:00,2608046 - Universe - Mis firmas no se parecen.jpeg,Programado,Absurdismo visual; media mañana. Asignación visual propuesta; requiere aprobación antes de producción/programación.,✍️📝😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-18,Martes,16:00,2608052 - Evan - Yo confiando en Google Maps.jpeg,Programado,Situacional/absurdo; tarde. Asignación visual propuesta; requiere aprobación antes de producción/programación.,🗺️🏍️🌊,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-18,Martes,19:00,2608032 - Kiri - Para romper el echizo tendras que besarla en los labios.jpeg,Programado,Romance y beso; noche. Asignación visual propuesta; requiere aprobación antes de producción/programación.,🧚‍♀️💋✨,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-19,Miércoles,11:00,2608061 - Fantasma - acaso parezco alguien que quiere ser genial.jpeg,Programado,Humor seco/relatable; media mañana. Asignación visual propuesta; requiere aprobación antes de producción/programación.,👻🤷‍♂️😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-19,Miércoles,16:00,2608031 - Maeve+Silvio - Risas falsas.jpeg,Programado,Fatiga social; tarde. Asignación visual propuesta; requiere aprobación antes de producción/programación.,😅🎭🙃,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-19,Miércoles,19:00,2608040- Wilfred - el universo me susurro en sueños.jpeg,Programado,Sueños/intución nocturna; noche. Asignación visual propuesta; requiere aprobación antes de producción/programación.,🌙🌲✨,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-20,Martes,11:00,2608038- Ganso - Mejor pudriendome en dinero.jpeg,Programado,Humor aspiracional; mañana. Asignación visual propuesta; requiere aprobación antes de producción/programación Reubicado desde 2026-08-18 10:00 para integrar los 11 reuse aprobados; Instagram permanece pendiente.,💸🪿😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-20,Jueves,16:00,2608056 - Wilfred - Analize tu contexto.jpeg,Programado,Respuesta ácida con lenguaje fuerte; tarde. Asignación visual propuesta; requiere aprobación antes de producción/programación.,🧠🌲🤨,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-20,Jueves,19:00,2608041 - Maeve+kael - No me averguenza amar.jpeg,Programado,Romance textualmente denso; noche. Asignación visual propuesta; requiere aprobación antes de producción/programación.,💞🫶✨,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-21,Viernes,13:30,2608049 - Elara - Tibio tu cafe.jpeg,Programado,Romance ácido; mediodía/tarde. Asignación visual propuesta; requiere aprobación antes de producción/programación.,☕💌🔥,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-22,Martes,10:00,2608050 - Universe - A ponerse en forma.jpeg,Programado,Automejora/relatable; mediodía. Asignación visual propuesta; requiere aprobación antes de producción/programación Reubicado desde 2026-08-18 13:30 para integrar los 11 reuse aprobados; Instagram permanece pendiente.,💪📸😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-22,Sábado,13:30,2608063 - Universe - Larga vida a esas mujeres.jpeg,Programado,"Doble sentido sexual; sábado mediodía, requiere aprobación. Asignación visual propuesta; requiere aprobación antes de producción/programación.",😏🙈😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-23,Miércoles,10:00,2608035- Maeve - La necesidad de enloquecer.jpeg,Programado,Estrés y desborde; tarde. Asignación visual propuesta; requiere aprobación antes de producción/programación Reubicado desde 2026-08-19 17:00 para integrar los 11 reuse aprobados; Instagram permanece pendiente.,🤯🌀😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-23,Domingo,16:00,2608057 - Fantasma - Sabes que me caeria bien.jpeg,Programado,Doble sentido sexual; domingo tarde/noche. Asignación visual propuesta; requiere aprobación antes de producción/programación.,👻😎⬆️,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-24,Lunes,10:00,Universe - Existencial 260661.png,Programado,Humor irreverente con Wilfred; lunes media mañana; asset extra detectado en Drive. Aprobación de Fernando registrada; pendiente de programación.,🤫🌲📚,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-24,Jueves,13:30,2608048 - Universe - Inalcanzable para todos.jpeg,Programado,Coqueteo ligero; mañana tardía. Asignación visual propuesta; requiere aprobación antes de producción/programación Reubicado desde 2026-08-20 10:00 para integrar los 11 reuse aprobados; Instagram permanece pendiente.,😏🫠👀,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-24,Lunes,17:00,2608053 - Universe - Quieras o no.jpeg,Programado,Romance coercitivo con arma de juguete; aprobado por Fernando para franja vespertina. Asignación visual propuesta; requiere aprobación antes de producción/programación.,😬🔫🙃,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-25,Viernes,10:00,Universe - Existencial 2607831.png,Programado,Absurdismo relacional con Kiri; viernes media mañana; asset extra detectado en Drive. Aprobación de Fernando registrada; pendiente de programación Reubicado desde 2026-08-21 10:00 para integrar los 11 reuse aprobados; Instagram permanece pendiente.,🧚‍♀️🍗🎬😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-25,Martes,16:00,2608062 - Kiri+Evan - prestame el marron.jpeg,Programado,Doble sentido sexual; aprobado por Fernando para martes por la tarde. Asignación visual propuesta; requiere aprobación antes de producción/programación.,🎨😏😂,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
2026-08-25,Martes,19:00,2608043 - Maeve - No te pedi que me revivieras.jpeg,Programado,Remate oscuro; noche. Asignación visual propuesta; requiere aprobación antes de producción/programación.,🪦🧟‍♀️😅,Secuencia_Emojis_Kit_USM,EXP-2026-08-CAL-01,Programado_FB_Pendiente_Publicacion
