priority_rank,status,meta_id,publication_date_local,local_time,caption,interactions,reactions,comments,shares,asset_ref_known,next_evidence_needed,sexual_cue,acid_cue,candidate_type,score
1,Reconciled,1036844829507460_122134136793072582,2026-06-28,,Me da miedo ser el malo de la historia... #UniverseSentMe #vidareal #pazmental #humor #memes,1308,912,4,392,2607825 - Kael - Ser el malo de la historia  (28-jun-26),"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,2134
12,Visual_Confirmed,1036844829507460_122134161303072582,2026-06-28,,Ya le entendí a la vida banda. #UniverseSentMe #humoracido #villano #fyp #revelacion,521,333,3,185,2607828,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,930
21,Visual_Confirmed,1036844829507460_122132350563072582,2026-06-20,,Hasta aquí llegue... u.u #UniverseSentMe #pendejadas #humor #relatable,351,239,3,109,2607786,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,608
46,Visual_Confirmed,1036844829507460_122132375181072582,2026-06-20,,🧙‍♂️ #UniverseSentMe #humoracido #baila #sanar #cumbia,36,26,2,8,2607789,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,88
42,Visual_Confirmed,1036844829507460_122134157199072582,2026-06-28,,😮‍💨😮‍💨😮‍💨 puro batallar....,40,32,1,7,2607827,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,87
65,Visual_Confirmed,1036844829507460_122132371125072582,2026-06-20,,🤦‍♂️ #UniverseSentMe #humor #humoracido,24,17,3,4,2607788,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,71
85,Visual_Confirmed,1036844829507460_122134350741072582,2026-06-29,,Do not disturb! first and only notice u.u #UniverseSentMe #meme #humoracido,16,14,1,1,2607834,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,51
125,Visual_Confirmed,1036844829507460_122130330195072582,2026-06-14,,🙂‍↕️ #UniverseSentMe #HumorÁcido #insight #Yo,9,4,1,4,260762,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,50
99,Needs_Asset_Match,1036844829507460_122130329817072582,2026-06-14,,Piensalo bien... #universesentme #fun #humorácido #humornegro,13,12,0,1,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,True,acid,45
166,Visual_Confirmed,1036844829507460_122126291157072582,2026-06-03,,no sean asi... sigan a la pagina 🤭 #Fblifestyle #EvolucionPersonal #DesconexiónDigital #insight #relatable #UniverseSentMe #CosasQuePasan #HumorAcido,5,2,1,2,260685,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,42
175,Visual_Confirmed,1036844829507460_122126300817072582,2026-06-03,,Ya vas a seguir la pagina? 🙄 #UniverseSentMe #HumorAcido #aesthetic #gatitos #DespertarCosmico #Rockstar #AdultoFuncional,4,3,1,0,260682,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,37
163,Needs_Asset_Match,1036844829507460_122131046847072582,2026-06-16,,#veaterapia #universesentme #humoracido #vidareal,6,6,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,True,acid,36
187,Visual_Confirmed,1036844829507460_122127909777072582,2026-06-07,,Vayan a perder su tiempo a otro lado.. 😎 #Fblifestyle #HumorAcido #CrisisExistencial #Despertar #whatif #UniverseSentMe,3,3,0,0,260712,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,33
199,Visual_Confirmed,1036844829507460_122127194757072582,2026-06-05,,No aguantan nada... 😙 #insight #relatable #Fblifestyle #HumorAcido #UniverseSentMe #NoMeArrepiento,2,2,0,0,260707,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",False,True,acid,32
215,Needs_Asset_Match,1036844829507460_122125569039072582,2026-06-01,,Malas decisiones... #EvolucionPersonal #DesconexiónDigital #relatable #CrisisExistencial #MalasDecisiones #UniverseSentMe #HumorAcido,0,0,0,0,,"Match Meta post image to June/operational Drive asset; record Asset_Ref, filename and Drive ID.",False,True,acid,30
213,Visual_Confirmed,1036844829507460_122127903447072582,2026-06-07,,Todos los días amanezco guapo... 🫣 #Fblifestyle #HumorAcido #UniverseSentMe #CosasQuePasan #Despertar #VidaReal #whatif,1,1,0,0,260719,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",True,True,mixed,31
222,Visual_Confirmed,1036844829507460_122127204141072582,2026-06-05,,Perdón por responder tarde. #CiclosCerrados #EvolucionPersonal #DesconexiónDigital #insight #UniverseSentMe #HumorAcido,0,0,0,0,260699,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",True,True,mixed,30
38,Visual_Confirmed,1036844829507460_122131787067072582,2026-06-18,,😳 esta bien.... #UniverseSentMe #vidareal #humor #parejas,47,41,2,4,260777,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",True,False,sexual,91
73,Visual_Confirmed,1036844829507460_122132711259072582,2026-06-22,,😒 Mereces amor! #GuiaEspiritual #vidareal #UniverseSentMe,20,16,1,3,2607797,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",True,False,sexual,59
84,Visual_Confirmed,1036844829507460_122134032159072582,2026-06-27,,Tu cuerpo también reacciona a las personas correctas. #UniverseSentMe #vidagatuna #pazmental #VibraBonita #parati #artedigital,16,12,1,3,2607819,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",True,False,sexual,55
83,Visual_Confirmed,1036844829507460_122132714559072582,2026-06-22,,Esta fue la primera vez que se vieron estos dos.. 🤪 #cosasquepasan #relatable #humor #UniverseSentMe #tarot,16,14,2,0,717,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",True,False,sexual,52
127,Visual_Confirmed,1036844829507460_122132695779072582,2026-06-22,,Los tres igual de confundidos... #UniverseSentMe #ansiedad #GuiaEspiritual #vidareal,9,6,3,0,2607795,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",True,False,sexual,48
131,Visual_Confirmed,1036844829507460_122126647605072582,2026-06-04,,😳 #CiclosCerrados #EvolucionPersonal #DesconexiónDigital #relatable #UniverseSentMe #universesentme,8,7,1,0,260693,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",True,False,sexual,41
146,Visual_Confirmed,1036844829507460_122126656881072582,2026-06-04,,Al fin... u.u Sigan a Universe Sent Me #DesconexiónDigital #EvolucionPersonal #CiclosCerrados #destiny #insight #relatable #UniverseSentMe #CosasQuePasan,7,6,1,0,260686,"Photo object, Meta post and visual image match confirmed; CNT assignment pending.",True,False,sexual,40
