meta_id,fecha,interacciones,comentarios,shares,estructura_narrativa,subgrupo,personajes_observables,tipo_humor,evidencia_visual
1036844829507460_122125547121072582,2026-06-01,14,1,1,metafora_visual_caption,Flor rompe piedra,Sin personaje,Metáfora / crecimiento,Meta image reviewed
1036844829507460_122130309663072582,2026-06-14,6,0,2,personaje_caption,Wilfred con remate,Wilfred visualmente compatible,Humor seco,Meta image reviewed
1036844829507460_122134060641072582,2026-06-27,4,1,1,escena_personaje_caption,Humano en mundo fantástico,Humano no identificado,Ácido / motivacional,Meta image reviewed
1036844829507460_122126267355072582,2026-06-03,1,0,0,personaje_caption,Wilfred con remate,Wilfred visualmente compatible,Ácido / literal,Meta image reviewed
1036844829507460_122126305443072582,2026-06-03,1,0,0,escena_relacional_caption,Dúo en nubes,Humanos no identificados,Relatable / afectivo,Meta image reviewed
1036844829507460_122134147251072582,2026-06-28,171,3,50,texto_composicion_mundo,Texto sobre nubes,Ninguno visible,Relatable / ácido,Meta image reviewed
1036844829507460_122125528653072582,2026-06-01,35,1,8,texto_sobre_fotografia,Fotografía de arroyo,Ninguno visible,Ácido,Meta image reviewed
1036844829507460_122130216549072582,2026-06-13,23,2,6,infografia_composicion,Guía de emojis,Ninguno visible,Sexual / informativo,Meta image reviewed
1036844829507460_122130232503072582,2026-06-13,27,1,2,escena_relacional_globo,Dúo con globo único,Hombre + hada visualmente compatible,Relatable / sexual,Meta image reviewed
1036844829507460_122134608507072582,2026-06-30,14,3,2,transformacion_vestuario,Ganso siendo vestido,Ganso visualmente compatible,Absurdista / social,Meta image reviewed
1036844829507460_122128512777072582,2026-06-09,20,1,1,texto_sobre_fotografia,Consejo sobre cielo,Ninguno visible,Ácido,Meta image reviewed
1036844829507460_122127661851072582,2026-06-06,24,0,0,texto_sobre_fotografia,Texto sobre carretera,Ninguno visible,Sexual,Meta image reviewed
1036844829507460_122125544019072582,2026-06-01,18,0,2,personaje_caption,Wilfred con hechizo,Wilfred visualmente compatible,Ácido / fantástico,Meta image reviewed
1036844829507460_122129015739072582,2026-06-10,18,0,2,texto_sobre_fotografia,Tres bloques sobre calle,Ninguno visible,Relatable / social,Meta image reviewed
1036844829507460_122127916017072582,2026-06-07,14,2,1,composicion_mundo,Cartel espiritual,Hada + Wilfred + tarot,Esotérico / comunitario,Meta image reviewed
