Reel_Record_ID,Platform,Platform_Content_ID,Meta_Reel_ID,Publication_UTC,Concept_ID,Title_or_Caption,Character,Content_Type,Evidence_Status,Drive_Evidence_Status,Asset_Match_Status,Asset_Relationship,Editorial_Qualification,Experiment_ID,Hypothesis_ID,Crosspost_Status,Production_Status,Publication_Status,Metrics_Status,Views,Reach,Engagement,Source,Last_Sync
REEL-001,Facebook,1036844829507460_122153090559072582,2210896633022235,2026-08-20T00:03:50+0000,CON-2026-08-19-DobleCheck-Universe,"Yo: “no pasa nada”. Universe, dos segundos después: 🟣",Universe,Reel,Confirmado_por_Meta_API_y_brief_de_produccion,Not_confirmed,,,,EXP-202608-REALUNIVERSE-01,HB-REEL-01,Cascada_completa_confirmada,Published_Historical,Published,Snapshot_pendiente; auditoria anterior devolvio solo 1 reaccion y 0 comentarios en corte lifetime consultado,,,,Operations/Production/2026-08-19_Brief_Pieza01_DobleCheck_Universe_Flow.md; Meta live feed audit,2026-08-22
REEL-002,Facebook,1036844829507460_122153750763072582,2815726225473165,2026-08-20T23:04:21+0000,CON-2026-08-20-RemoteControl-EvanElara,Hay personas que se quedan en el retrovisor aunque ya no vayan contigo. Remote Control — Sussie 4 ft. León Larregui.,Evan + Elara,Reel,Confirmado_por_Meta_API_y_documento_de_produccion,Not_confirmed,,,,,,Cascada_completa_confirmada,Published_Historical,Published,Snapshot_24h_pendiente,,,,Operations/Production/2026-08-20_Exploracion_Videoclip_Musical_Desamor.md; Meta live feed audit,2026-08-22
REEL-003,Facebook,1036844829507460_122154017667072582,2005557463434064,2026-08-21T21:30:59+0000,CON-2026-08-21-Farmear_Aura,Universe viéndote Farmear Aura,Universe,Reel,Confirmado_por_Meta_API,Not_confirmed,,,,,,Facebook_confirmado; otras_plataformas_no_verificadas,Published_Historical,Published,Snapshot_pendiente,,,,2026-08-21 Meta live read-only audit,2026-08-22
REEL-004,Facebook,1036844829507460_122148560799072582,,2026-08-11T19:22:29+0000,CON-2026-08-11-Universe_Sin_Caption,#UniverseSentMe,Universe,Reel,Confirmado_por_Meta_API,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,15,2026-08-19_Meta_Reels_Audit.json,2026-08-22
REEL-005,Facebook,1036844829507460_122147749683072582,,2026-08-10T00:00:48+0000,CON-2026-08-10-Cartones_Papeles,Les dije que no eran cartones pintados #UniverseSentMe #memes #humor #UniverseUSM,Universe,Reel,Confirmado_por_Meta_API,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,8,2026-08-19_Meta_Reels_Audit.json,2026-08-22
REEL-006,Facebook,1036844829507460_122147211939072582,,2026-08-09T02:00:39+0000,CON-2026-08-09-Elara_Evan_Estrellas,Elara pasó toda la noche tratando de leerlo. Evan solo quería ver las estrellas. 🌲✨ #UniverseSentMe #ElaraUSM #EvanUSM #ElBosque #MomentosUSM,Elara,Reel,Confirmado_por_Meta_API,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,8,2026-08-19_Meta_Reels_Audit.json,2026-08-22
REEL-007,Facebook,1036844829507460_122147352825072582,,2026-08-09T01:19:54+0000,CON-2026-08-09-Caja_de_Luna,"Universe no sabe qué trae en la caja. Nunca sabe. 🌙📦 Pero sí sabe quedarse a ver la cara que pone Elara cuando la abre. 👇 Comenta ""LUNA"" y te mandamos el link directo a la lámpara que le llegó a ella. #UniverseSentMe #QueMeLlegoUSM #UniverseUSM #ElaraUSM",Elara,Reel,Confirmado_por_Meta_API,Not_confirmed,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,19,2026-08-19_Meta_Reels_Audit.json,2026-08-22
REEL-008,Facebook,1036844829507460_122145545163072582,,2026-08-06T00:32:27+0000,CON-2026-08-05-Instante_suspendido,"Me hace falta vitamina B (besos). El Bosque tiene sus propios fantasmas. Algunos observan desde la niebla, esperando algo que nunca llega. No porque no puedan moverse — sino porque moverse significaría soltar. 👁️ ¿Conoces a alguien que sigue esperando algo que ya se fue? Etiquétalo. #FantasmaUSM #UniverseSentMe",Fantasma,Reel,Confirmado_por_Meta_API,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,24,2026-08-19_Meta_Reels_Audit.json,2026-08-22
REEL-009,Facebook,1036844829507460_122144700573072582,,2026-08-04T02:27:50+0000,CON-2026-08-04-Fantasma_Backrooms,"Dicen que si te sales de la realidad en el lugar equivocado, terminas aquí. Fantasma no se perdió, su lógica de supervivencia lo llevó al espacio liminal definitivo. 👻🚪 Etiqueta a esa persona que vive ""glitcheada"" entre el pasado y el presente. #UniverseSentMe #FantasmaUSM #Backrooms #LiminalSpaces #GlitchCore",Fantasma,Reel,Confirmado_por_Meta_API,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,20,2026-08-19_Meta_Reels_Audit.json,2026-08-22
REEL-010,Facebook,1036844829507460_122144459607072582,,2026-08-03T03:23:56+0000,CON-2026-08-03-Conversaciones_atrancadas,Hay conversaciones que no llegan a ningun lado 👻 🐱 Universe lo intentó. ¿A quien le tienes que explicar tu vida como tres veces porque sigue atorado en el mismo tema? 👇 #UniverseSentMe #FantasmaUSM #memesen español #relatable #̤c̤o̤m̤e̤d̤y̤r̤e̤e̤l̤s̤,Fantasma,Reel,Confirmado_por_Meta_API,Confirmed_or_documented,,,,,,,Published_Historical,Published,Historical_snapshot_or_partial,,,9,2026-08-19_Meta_Reels_Audit.json,2026-08-22
