Review_ID,Asset_Drive_ID,Asset_Filename,Asset_Created_UTC,Source_Analysis,Meta_Candidate_Post_ID,Meta_Reel_ID,Meta_Published_UTC,Meta_Permalink,Decision,Confidence,Asset_Relationship,Editorial_Qualification,Notes
XMR-001,175XnmOVnBPgVCFlwyDWCZ3jCAmB2MOjO,Fantasma_tranquilo_con_viento_202605241629.mp4,2026-05-24T21:29:12Z,"White-sheet ghost with dark round sunglasses, rustic fence, painterly twilight forest, subtle loop",1036844829507460_122123860587072582,1877535942934184,2026-05-24T21:33:33+0000,https://www.facebook.com/reel/1877535942934184/,Match_Visual_Exact,High,Single_asset_match,Caption_Contains_External_URL,Meta Reel footage was analyzed and exactly matches the Drive source; integrate as historical publication but exclude from clean editorial comparisons because the caption contains an external app URL.
XMR-002,1tE84FJLyLNwqELa5E23_7Tn5dvDwN_WI,Wilfred realista haciendo una posion.mp4,2026-06-04T20:32:20Z,"Wilfred gnome, red hat, green tunic, glowing staff, bubbling green potion in cauldron",, , , ,Pending_Visual_Review,Low,Not_assigned,Not_qualified_yet,Date-proximate candidates 122126302725072582 and 122127661851072582 were negative; no exact Meta match confirmed in this pass.
XMR-003,1vFRModK-KTYj6D9ZXhYBFhMOr3B-fS5F|18GoVQOBam-Tgox4rXNyRwwZk19BBeEzF,Man_pressing_hands_temples_202606131832.mp4|Man_exerting_intense_physical_ef…_202606131851.mp4,2026-06-13T23:32:24Z|2026-06-13T23:51:45Z,"Young man in brown hoodie, temples pressed, glowing energy rings, distress to shock",1036844829507460_122130226041072582,2417378928740605,2026-06-14T00:13:49+0000,https://www.facebook.com/reel/2417378928740605/,Match_Visual_Exact,High,Asset_set_match,AI_Watermark_Source,Two Drive clips form the same visual sequence; Meta Reel analysis confirmed an exact match. Keep both Drive IDs linked to one publication; do not duplicate as two Reels.
XMR-004,14Jwguu1pUljEBQtzZPWxc_fEOCWpwkKW,Pato_villano_mirando_cámara_POV_EresAries.mp4,2026-06-30T18:30:27Z,"White duck in black tuxedo and bow tie, cosmic background, suit adjustment, red lightning close-up",1036844829507460_122134608507072582,1049041731412120,2026-06-30T18:45:55+0000,https://www.facebook.com/reel/1049041731412120/,Match_Visual_Exact,High,Single_asset_match,AI_Watermark_Present,Meta Reel analysis confirmed exact match; integrate as a historical publication but exclude from clean comparable learning until watermark and editorial treatment are separately coded.
XMR-005,1tE84FJLyLNwqELa5E23_7Tn5dvDwN_WI,Wilfred realista haciendo una posion.mp4,2026-06-04T20:32:20Z,Same Wilfred potion source reviewed against date-proximate candidate 122126302725072582,1036844829507460_122126302725072582,,2026-06-04T00:50:21+0000,,Negative_Visual_Check,High,Not_a_match,Not_applicable,"Candidate was a sky-only Reel with text overlay; no Wilfred or potion. This is a negative control, not an inventory publication."
XMR-006,1tE84FJLyLNwqELa5E23_7Tn5dvDwN_WI,Wilfred realista haciendo una posion.mp4,2026-06-04T20:32:20Z,Meta Reel 1020271167128162 is a stream landscape with text about psychologists; reviewed Drive candidate is Wilfred potion.,1036844829507460_122125528653072582,1020271167128162,2026-06-01T16:08:45+0000,https://www.facebook.com/reel/1020271167128162/,No_Match_In_Reviewed_Set,High,Not_a_match,Pending_other_Drive_or_local_asset_search,"Reviewed Wilfred potion and relevant date-proximate image candidates; none matches the stream, reeds, exposed tree roots, or text overlay. This is not a global Drive exclusion."
XMR-007,Universe Real - 001..008,Universe Real - 001.mp4 through Universe Real - 008.mp4,2026-06-06 to 2026-06-11,"Meta Reel 1303110198700919 is a night road with full moon and relationship text; Universe Real batch contains cyberpunk toast, selfies, a woman, and winged-cat cloud scenes.",1036844829507460_122127661851072582,1303110198700919,2026-06-07T00:31:38+0000,https://www.facebook.com/reel/1303110198700919/,No_Match_In_Reviewed_Set,High,Not_a_match,Pending_other_Drive_or_local_asset_search,"All eight Universe Real videos were analyzed; no road, moon-through-windshield, or matching text sequence was present."
XMR-008,Universe Real - 001..008; 15nHZZftnESgshlLevc0gK8N0zSqEq6Pp,Universe Real family plus Universe sent me - 022.png,2026-06-06 to 2026-06-11,Meta Reel 1014879604586494 is a blue sky/cloud time-lapse with text Consejo del día: DESAPENDEJATE; reviewed Drive candidates show different characters/scenes or a different text image.,1036844829507460_122128512777072582,1014879604586494,2026-06-09T15:36:25+0000,https://www.facebook.com/reel/1014879604586494/,No_Match_In_Reviewed_Set,High,Not_a_match,Pending_other_Drive_or_local_asset_search,Universe Real 005-008 and Universe sent me - 022 were reviewed; none reproduces the sky scene and DESAPENDEJATE overlay.
XMR-009,1HFzRgE6keLuzBsH7LXFGhVi-cRxiqEAq,1 - Fantasma_frozen_in_forest_202608051814.mp4,2026-08-05T23:14:53Z,"Meta Reel 4244177002465660 is a blue sky with clouds, text about people who know they are disliked, and a yellow arrow; reviewed Drive candidate is a ghost in a dark forest.",1036844829507460_122123203887072582,4244177002465660,2026-05-23T16:30:34+0000,https://www.facebook.com/reel/4244177002465660/,No_Match_In_Reviewed_Set,High,Not_a_match,Pending_other_Drive_or_local_asset_search,The August Fantasma video is visually distinct from the historical blue-sky Reel; do not attach it merely because the caption contains the word gente.
XMR-010,1tE84FJLyLNwqELa5E23_7Tn5dvDwN_WI,Wilfred realista haciendo una posion.mp4,2026-06-04T20:32:20Z,Meta Reel 1314043717583273 is a rotating pastel circular background with text Se te nota en la voz que por dentro eres de colores; reviewed Drive candidate is Wilfred potion.,1036844829507460_122125202205072582,1314043717583273,2026-06-01T03:35:20+0000,https://www.facebook.com/reel/1314043717583273/,No_Match_In_Reviewed_Set,High,Not_a_match,Pending_other_Drive_or_local_asset_search,"No gnome, cauldron, staff, or potion appears in the Meta Reel; this is a negative visual control."
