Meta_ID,personaje_principal_observado,personajes_secundarios_observados,rol_narrativo,tipo_humor_normalizado,potencial_etiquetado,estructura_narrativa,caption_treatment,confianza_taxonomia,evidencia_visual_breve,cautela,review_status
1036844829507460_122135016567072582,No identificado,,Protagonista,Relatable_cotidiano;Humor_acido_o_negro,Alto,Microhistoria_dos_paneles,historical_unavailable,Media,"Secuencia de cuatro paneles donde Evan satisface deseos simples de comida y bebida, pero ante el deseo sexual vuelve a comer pan.","La secuencia contiene figuras humanas y un gato, pero no confirma un personaje canónico por marcadores visuales.",Reviewed_Conservative
1036844829507460_122135577327072582,No identificado,,Escena_observacional,Relatable_cotidiano;Existencial_o_absurdo,Alto,Escena_unica,historical_unavailable,Media,"Gato con maquillaje de payaso y gorro de fiesta sentado solo frente a un pastel con una vela, bajo un texto que pide afecto y validación.","Aunque el pelaje es morado y blanco, el personaje es un gato y no la protagonista humana Universe; se clasifica como no identificado por ser un recurso visual único para el mensaje.",Reviewed_Conservative
1036844829507460_122135586723072582,No identificado,Problema (bola de pelo negra),Duo_o_pareja,Relatable_cotidiano;Humor_acido_o_negro,Alto,Escena_unica,historical_unavailable,Media,"Un gato gris con gafas de sol sirve té a una criatura negra redonda con ojos grandes, sentados a una mesa sobre nubes.","El personaje principal es un gato antropomorfizado que no coincide con el diseño visual canónico de Universe, a pesar de la firma de la cuenta.",Reviewed_Conservative
1036844829507460_122135607981072582,No identificado,No_identificado,Duo_o_pareja,Relatable_cotidiano;Observacional_social,Alto,Microhistoria_dos_paneles,historical_unavailable,Media,Dos paneles que muestran una sesión de terapia entre un hombre joven y un gato psicólogo; el remate es la nota del gato sobre el envejecimiento prematuro del paciente.,"Aunque el estilo visual es consistente con la marca, los personajes son genéricos y no corresponden a Universe, Wilfred u otros miembros del elenco principal.",Reviewed_Conservative
1036844829507460_122136562323072582,Universe,No_identificado,Protagonista,Relatable_cotidiano;Existencial_o_absurdo,Alto,Escena_unica,historical_unavailable,Alta,Gato blanco con lentes oscuros (Universe) sentado en una silla frente a un tribunal de tres aves vestidas con togas de juez en un entorno celestial.,Las aves que componen el tribunal no corresponden a personajes secundarios recurrentes identificables.,Reviewed_Conservative
1036844829507460_122136954147072582,Universe,No_identificado,Duo_o_pareja,Relatable_cotidiano;Humor_acido_o_negro,Alto,Escena_unica,historical_unavailable,Alta,Universe es cargada por un alienígena en un entorno onírico de nubes y castillos flotantes con texto sobre burlarse de la gente.,El alienígena es un elemento de composición visual y no corresponde a un personaje secundario con nombre en el canon habitual.,Reviewed_Conservative
1036844829507460_122137968789072582,Universe,,Protagonista,Humor_acido_o_negro;Relatable_cotidiano,Alto,Escena_unica,historical_unavailable,Alta,Gato blanco con gafas de sol redondas sosteniendo un cuchillo con el grabado 'empatía' en la boca sobre un fondo de nubes.,Las gafas y la morfología del gato aportan un marcador visual suficiente para Universe.,Reviewed_Conservative
1036844829507460_122138831577072582,No identificado,,Escena_observacional,Relatable_cotidiano;Fandom_o_referencia,Alto,Escena_unica,historical_unavailable,Media,"Manos entrelazadas, joyas ornamentales en muñeca y hombro, fondo de fantasía con castillos y cristales.",Solo se observan manos y accesorios; no hay evidencia suficiente para asignar personaje.,Reviewed_Conservative
1036844829507460_122138846193072582,Universe,,Protagonista,Relatable_cotidiano;Humor_acido_o_negro,Alto,Escena_unica,historical_unavailable,Alta,"Gato blanco con lentes de sol circulares sobre nubes, proyectando una sombra de diablo con llamas.","La figura del diablo es una sombra proyectada que representa el estado interno o el deseo expresado en el texto, no un personaje secundario independiente.",Reviewed_Conservative
1036844829507460_122139161997072582,No identificado,,Protagonista,Relatable_cotidiano;Sexual_o_insinuacion,Medio,Escena_unica,historical_unavailable,Alta,Personaje de hongo con sombrero azul y mejillas rosadas asomándose tras un árbol en un entorno de bosque fantástico con destellos estelares.,El personaje es un hongo antropomorfizado sin rasgos visuales que permitan identificarlo como Universe u otro miembro del elenco principal.,Reviewed_Conservative
