meta_id,fecha,interacciones,reacciones,comentarios,shares,estructura_narrativa,grupo_comparable,personajes_observables,tipo_humor,justificacion_inclusion,nivel_confianza
1036844829507460_122129404893072582,2026-06-11,155,135,1,19,Dialogo de tres paneles,Microhistoria,Hombre no identificado + hada visualmente compatible,Literalidad / absurdo romantico,Prueba principal para microhistoria secuencial,Alta
1036844829507460_122130232503072582,2026-06-13,27,25,0,2,Duo con globo de texto,Escena de personaje,Hombre no identificado + hada visualmente compatible,Sexual / relacional,Contraste frente a diálogo secuencial,Alta
1036844829507460_122129952933072582,2026-06-12,27,23,0,4,Escena con caption único,Escena de personaje,Dos humanos no identificados,Relatable / observacional,Contraste frente a escena fantástica con un solo remate,Alta
1036844829507460_122134608507072582,2026-06-30,14,9,3,2,Personaje con caption único,Escena de personaje,Ganso visualmente compatible,Absurdista / coloquial,Evalúa personaje secundario contextualizado,Alta
1036844829507460_122130196011072582,2026-06-13,164,122,0,42,Transformación visual con caption,Transformación,Universe,Absurdo / relatable,Evalúa elasticidad de protagonista,Alta
1036844829507460_122125520661072582,2026-06-01,15,13,1,1,Personaje en escena con caption,Escena de personaje,Universe,Relatable / espera,Contraste de Universe sin transformación extrema,Media
1036844829507460_122125544019072582,2026-06-01,18,14,0,2,Personaje en escenario con caption,Escena de personaje,Wilfred visualmente compatible,Humor seco / insulto absurdo,Contraste de continuidad visual con bajo rendimiento,Alta
1036844829507460_122125528653072582,2026-06-01,35,26,1,8,Texto sobre fotografía,Control texto simple,Ninguno visible,Ácido / observacional,Control de meme textual no fantástico,Alta
1036844829507460_122128512777072582,2026-06-09,20,17,1,1,Texto sobre fotografía de cielo,Control texto simple,Ninguno visible,Reflexivo / breve,Segundo control de texto simple,Alta
1036844829507460_122127916017072582,2026-06-07,14,11,2,1,Cartel denso de mundo,Composición de mundo,Hada no identificada + Wilfred visualmente compatible,Esotérico / absurdo,Evalúa densidad visual y múltiples símbolos,Alta
