opportunity_id,query,search_url,candidate_url,status
AFF-13,cubo antiestrés fidget cube,https://listado.mercadolibre.com.mx/cubo-antiestr%C3%A9s-fidget-cube,,ReadTimeout
AFF-14,lampara luna 3d decorativa,https://listado.mercadolibre.com.mx/lampara-luna-3d-decorativa,,ReadTimeout
AFF-15,lampara calida ambar mesa,https://listado.mercadolibre.com.mx/lampara-calida-ambar-mesa,,ReadTimeout
AFF-16,mini impresora termica bluetooth,https://listado.mercadolibre.com.mx/mini-impresora-termica-bluetooth,,ReadTimeout
AFF-17,taza esmaltada vintage,https://listado.mercadolibre.com.mx/taza-esmaltada-vintage,,ReadTimeout
AFF-18,difusor aromas aceites esenciales,https://listado.mercadolibre.com.mx/difusor-aromas-aceites-esenciales,,ReadTimeout
AFF-19,gadget inutil divertido escritorio,https://listado.mercadolibre.com.mx/gadget-inutil-divertido-escritorio,,ReadTimeout
AFF-20,arena cinetica,https://listado.mercadolibre.com.mx/arena-cinetica,,ReadTimeout
AFF-21,manta suave cozy,https://listado.mercadolibre.com.mx/manta-suave-cozy,,no_candidate
AFF-22,letrero neon led frase,https://listado.mercadolibre.com.mx/letrero-neon-led-frase,,no_candidate
AFF-23,cojin estetico decorativo,https://listado.mercadolibre.com.mx/cojin-estetico-decorativo,,no_candidate
AFF-24,lampara de sal,https://listado.mercadolibre.com.mx/lampara-de-sal,,no_candidate
AFF-25,lampara pared resina hada bosque,https://listado.mercadolibre.com.mx/lampara-pared-resina-hada-bosque,,ReadTimeout
AFF-26,taza grande cafe,https://listado.mercadolibre.com.mx/taza-grande-cafe,,no_candidate
AFF-27,teclado mecanico compacto,https://listado.mercadolibre.com.mx/teclado-mecanico-compacto,,ReadTimeout
AFF-28,organizador creativo escritorio,https://listado.mercadolibre.com.mx/organizador-creativo-escritorio,,no_candidate
AFF-29,mini maquina humo fiesta,https://listado.mercadolibre.com.mx/mini-maquina-humo-fiesta,https://www.mercadolibre.com.mx/american-dj-maquina-humo-1300w-compact-value-fogger-vf1338/p/MLM23273644,ok
AFF-30,exprimidor manual compacto,https://listado.mercadolibre.com.mx/exprimidor-manual-compacto,,no_candidate
AFF-31,tiras led suaves hada,https://listado.mercadolibre.com.mx/tiras-led-suaves-hada,,no_candidate
AFF-32,cuenco tibetano decorativo,https://listado.mercadolibre.com.mx/cuenco-tibetano-decorativo,,ReadTimeout
AFF-33,shaker licuadora portatil,https://listado.mercadolibre.com.mx/shaker-licuadora-portatil,,no_candidate
AFF-34,velas led calidas,https://listado.mercadolibre.com.mx/velas-led-calidas,,ReadTimeout
AFF-35,lampara creativa escritorio,https://listado.mercadolibre.com.mx/lampara-creativa-escritorio,,no_candidate
AFF-36,mascara led fiesta,https://listado.mercadolibre.com.mx/mascara-led-fiesta,,no_candidate
