Review_Block_ID,Fecha,Día,Hora,Slot,Tipo_Contenido,Estado_Candidato,Asset_Ref,CNT_ID,Archivo,Drive_ID,Fecha_Ultima_Publicacion,Personaje_Principal,Personajes_Secundarios,Tipo_Humor,Funcion_Editorial,Familia_Candidata,Role_Narrative,Caption_Treatment,Caption_Propuesto,Plataforma,Reels_Incluido,Instagram_Incluido,Affiliate_Status,Reuse_Eligible,Preflight_Status,Human_Approval,Experiment_ID,Notas
EXP-2026-09-CAD-01,2026-08-31,Lunes,10:00,1,Nueva,Nuevo_Pendiente_Revision,2608030,,2608030 - Universe - Que fibra tomas pa cagarla tanto.jpeg,1qiqa3QReNG3HuholxQsepFN9eDMZTY0c,,Universe,,Ácido/observacional,Identificación,Relatable_Social,Personaje afronta una situación reconocible,caption_minimo,PENDIENTE_VALIDAR_NO_REPETIR_TEXT,Facebook,No,No,Excluded,No,Blocked_Visual_Review_Required,PENDING,EXP-2026-09-CAD-01,Asset restante del inventario nuevo; requiere revisión final de legibilidad y caption antes de entrar al calendario.
EXP-2026-09-CAD-01,2026-08-31,Lunes,11:00,2,Reuse,Queue_Approved_Reuse_Candidate,2607823,CNT-080,PENDING_DRIVE_FILENAME,12MKuMOEZdxvEsKqQPGXgjzwUP9ymnsRm,2026-06-27,Universe,,Sexual/relacional,Difusión,Ácido_Interpersonal,Remate dirigido a etiquetado,caption_minimo,PENDIENTE_VALIDAR_COPY_Y_FILENAME,Facebook,No,No,Excluded,Yes,Blocked_Exact_Filename_and_Copy_Review,PENDING,EXP-2026-09-CAD-01,"Supera 30 días; confirmar filename exacto,  copy y plataforma antes de programar."
EXP-2026-09-CAD-01,2026-08-31,Lunes,13:30,3,Nueva,Draft_Needs_Production_Approval,CNT028-M5,CNT-028,05_universe_lo_bueno_del_amor_v2.png,PENDING,,Universe,,Relacional/observacional,Difusión,Adapted_Meme,Universe observa el amor sin resolverlo,caption_minimo,PENDIENTE_APROBAR_ASSET_Y_COPY,Facebook,No,No,Excluded,No,Blocked_Asset_Not_Local_and_Human_Approval,PENDING,EXP-2026-09-CAD-01,Propuesta CNT-028 en modo Adaptado; el archivo no está en el checkout local y requiere aprobación visual/operativa.
EXP-2026-09-CAD-01,2026-08-31,Lunes,17:00,4,Nueva,Nuevo_Pendiente_Revision,2608033,,2608033 - Fantasma - vendra primero mi boda o jesus.jpeg,1BPIL_PlooeaozXKFQASEBKBG6XS6QOsX,,Fantasma,,Absurdo/existencial,Conversación,Relatable_Social,Espera absurda convertida en remate,caption_minimo,PENDIENTE_VALIDAR_NO_REPETIR_TEXT,Facebook,No,No,Excluded,No,Blocked_Visual_Review_Required,PENDING,EXP-2026-09-CAD-01,Asset restante del inventario nuevo; conservar voz de Fantasma y revisar texto antes de aprobar.
EXP-2026-09-CAD-01,2026-08-31,Lunes,19:00,5,Reuse,Queue_Approved_Reuse_Candidate,2607787,CNT-081,PENDING_DRIVE_FILENAME,1_GbN_fXvFCIrxfHqRoDMMF505injvLTF,2026-06-20,Universe,Fantasma,Conversacional/ácido,Conversación,Ácido_Interpersonal,Dúo que sostiene el remate,caption_refuerzo,PENDIENTE_VALIDAR_COPY_Y_PRESERVAR_DUO,Facebook,No,No,Excluded,Yes,Blocked_Exact_Filename_and_Copy_Review,PENDING,EXP-2026-09-CAD-01,Supera 30 días; preservar Universe+Fantasma y confirmar archivo exacto.
EXP-2026-09-CAD-01,2026-09-01,Martes,10:00,1,Nueva,Nuevo_Pendiente_Revision,2608036,,2608036- Elara+Evan - Nadie nos soporta.jpeg,1dM9LAsLF04If5MY3azfiFkIiUeLn-rBD,,Elara,Evan,Relacional/ácido,Conversación,Ácido_Interpersonal,Dúo relacional con tensión ligera,caption_conversacional,PENDIENTE_VALIDAR_NO_REPETIR_TEXT,Facebook,No,No,Excluded,No,Blocked_Visual_Review_Required,PENDING,EXP-2026-09-CAD-01,Asset restante del inventario nuevo; no confundir con Elara+Evan en camping ni con MPM-001.
EXP-2026-09-CAD-01,2026-09-01,Martes,11:00,2,Reuse,Queue_Approved_Reuse_Candidate,2607816,CNT-082,PENDING_DRIVE_FILENAME,1Vfb08MN_QjWGHghs8dH_ct67QxvKdAwx,2026-06-26,Universe,,Observacional/ácido,Identificación,Relatable_Social,Situación reconocible de baja fricción,caption_minimo,PENDIENTE_VALIDAR_COPY_Y_LEGIBILIDAD,Facebook,No,No,Excluded,Yes,Blocked_Exact_Filename_and_Copy_Review,PENDING,EXP-2026-09-CAD-01,"Supera 30 días; revisar slot,  legibilidad y no elevar a canon."
EXP-2026-09-CAD-01,2026-09-01,Martes,13:30,3,Nueva,Draft_Needs_Production_Approval,CNT028-M1,CNT-028,01_fantasma_boda_jesus_v2.png,PENDING,,Fantasma,,Absurdo/relacional,Difusión,Adapted_Meme,Espera eterna con giro moderno,caption_minimo,PENDIENTE_APROBAR_ASSET_Y_COPY,Facebook,No,No,Excluded,No,Blocked_Asset_Not_Local_and_Human_Approval,PENDING,EXP-2026-09-CAD-01,"Propuesta CNT-028 en modo Adaptado; requiere asset exacto,  revisión de frase intacta y aprobación."
EXP-2026-09-CAD-01,2026-09-01,Martes,17:00,4,Nueva,Nuevo_Pendiente_Revision,2608037,,2608037- Universe - soñe que era un litrro de agua.jpeg,1crVxp8PdaxYw2cy3tb5QQi_dSuxI9aYa,,Universe,,Absurdo/visual,Exploración,Relatable_Social,Transformación absurda de identidad,caption_minimo,PENDIENTE_VALIDAR_NO_REPETIR_TEXT,Facebook,No,No,Excluded,No,Blocked_Visual_Review_Required,PENDING,EXP-2026-09-CAD-01,"Asset restante del inventario nuevo; revisar typo del filename solo como metadata,  no corregir el asset sin aprobación."
EXP-2026-09-CAD-01,2026-09-01,Martes,19:00,5,Reuse,Queue_Approved_Reuse_Candidate,2607828,CNT-083,PENDING_DRIVE_FILENAME,1Uk62iNYZ4mQQyZFe8ULVLCBcr6NzxdoR,2026-06-29,Ganso,,Absurdo/identidad,Difusión,Relatable_Social,Personaje condimenta una situación de identidad,caption_refuerzo,PENDIENTE_VALIDAR_COPY_Y_ATRIBUCION,Facebook,No,No,Excluded,Yes,Blocked_Exact_Filename_and_Copy_Review,PENDING,EXP-2026-09-CAD-01,Supera 30 días; conservar atribución a Ganso y revisar compatibilidad de audiencia.
