ID_Pieza,Titulo,Estado_Raw,Estado_Operacion_Propuesto,Canon_Raw,Estado_Canon_Propuesto,Fecha_Ultima_Publicacion_Raw,Fuente_Raw,Asset_Ref,Reconciliacion,Decision_Requerida
CNT-001,Mi gato: tarotista (meme-to-reel),Reutilizable (pendiente de revisión de continuidad),Reuse_Candidate,Sí — pendiente revisión de continuidad,Canon_Review_Required,"2026-07-29 (generado, no publicado)",08_Production/Reels/Reel_001.md,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-002,Wilfred reseña su propio peluche,Pendiente de producción,Production_Pending,No,Canon_Clear_or_Unverified,No publicado,08_Production/Reels/Reel_002.md,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-003,Trailer 001 — Universe Sent Me (teaser cinematográfico),Pendiente de producción,Production_Pending,No,Canon_Clear_or_Unverified,No publicado,08_Production/Trailers/Trailer_001.md,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-004,La Búsqueda del Frasco Olvidado (mini-historia serializada),Bloqueado,Blocked_Operational,Sí — 5 contradicciones de canon activas,Canon_Review_Required,No publicado,Canon_Contradictions_Report.md,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-005,HB-001: Wilfred existencial vs humorístico,Pendiente de aprobación,Pending_Approval,Sí — pendiente aprobación Fernando,Canon_Review_Required,No publicado,GrowthOS/Integracion_Growth_OS.md,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-006,Tarot de Universe (contenido evergreen),Reutilizable,Reuse_Candidate,No,Canon_Clear_or_Unverified,Histórico en Facebook (viral),Analytics (Fotos: 1.36M vistas),,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-007,Wilfred — sabiduría del bosque (contenido filosófico),Idea,Idea,No,Canon_Clear_or_Unverified,No publicado,Canon — Personajes/Wilfred,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-008,Elara — cartas mágicas y astrología,Idea,Idea,No (pero cuidado: no duplicar rol de tarot de Universe),Canon_Review_Required,No publicado,Canon — Personajes/Elara,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-009,Payaso — humor absurdo / Silvio,Idea,Idea,Sí — nombre 'Silvio' no confirmado por Fernando,Canon_Review_Required,No publicado,Canon — Personajes/Payaso,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-010,Ganso — contenido,Idea,Idea,No (pero ficha visual aún no aprobada),Canon_Review_Required,No publicado,Canon — Personajes/Ganso,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-011,Kiri (Hada) — contenido mágico,Idea,Idea,No (pero ficha visual aún no aprobada),Canon_Review_Required,No publicado,Canon — Personajes/Hada,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-012,Evan — contenido,Idea,Idea,No (pero ficha visual aún no aprobada),Canon_Review_Required,No publicado,Canon — Personajes/Evan,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
CNT-013,Chica del Suéter — contenido emocional,Idea,Idea,No (pero ficha visual aún no aprobada),Canon_Review_Required,No publicado,Canon — Personajes/Chica del Suéter,,Pendiente — no se asigna CNT↔260 sin coincidencia explícita,Revisión humana antes de aplicar
