asset_ref,filename,personajes,titulo,drive_id,Estado_Visual,Franja_Compatibilidad,Riesgo_Editorial,Slot_Propuesto,Motivo_Asignacion,Revision_Necesaria
2608027,2608027.jpeg,,,1CRelpkyI-Y9zdp8qQ2kGBDCdX3XlD9VL,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-17 17:00,Humor ácido existencial; tarde.,Sí — comprobación final de legibilidad y caption
2608028,2608028 - Universe -  El amor esta en todos lados.png,Universe, El amor esta en todos lados,1OMQislufbj5TEThH37s0GnpirN2ffwuy,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-17 11:00,Relacional ligero; media mañana.,Sí — comprobación final de legibilidad y caption
2608029,2608029 - Wilfred - Quiero loquiar.jpeg,Wilfred,Quiero loquiar,1hmJCzpO7HFnRB3vs0cxVoFglhcfYtQN7,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-17 19:00,Contexto nocturno explícito; noche.,Sí — comprobación final de legibilidad y caption
2608031,2608031 - Maeve+Silvio - Risas falsas.jpeg,Maeve+Silvio,Risas falsas,1ObiaHe3HCIXb1rAsjTm75kiE0VWkZq7f,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-19 16:00,Fatiga social; tarde.,Sí — comprobación final de legibilidad y caption
2608032,2608032 - Kiri - Para romper el echizo tendras que besarla en los labios.jpeg,Kiri,Para romper el echizo tendras que besarla en los labios,1PshndH_yv6QFmQeM7sMxpx9E6X2c0Ph6,Candidato_Editorial,Tarde/noche o fin de semana,Medio,2026-08-18 19:00,Romance y beso; noche.,Sí — revisar texto final y tono antes de programar
2608034,2608034- Elara - uno debe ser chismoso.jpeg,Elara,uno debe ser chismoso,1jkOakhil7LbJVHxHPvx8Alladlc5W8XT,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-17 13:30,Chisme/observación; mediodía.,Sí — comprobación final de legibilidad y caption
2608035,2608035- Maeve - La necesidad de enloquecer.jpeg,Maeve,La necesidad de enloquecer,1WBg2eRAYY-ihxyByC51lznBtdvklLA0_,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-19 17:00,Estrés y desborde; tarde.,Sí — comprobación final de legibilidad y caption
2608038,2608038- Ganso - Mejor pudriendome en dinero.jpeg,Ganso,Mejor pudriendome en dinero,1Xk_RJhy4AyMfLGYMC0f1SU1XX8fLy0Yx,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-18 10:00,Humor aspiracional; mañana.,Sí — comprobación final de legibilidad y caption
2608040,2608040- Wilfred - el universo me susurro en sueños.jpeg,Wilfred,el universo me susurro en sueños,19x4tHw5kf7Bpr44GsP-iYVY_CUkKm3S0,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-19 19:00,Sueños/intución nocturna; noche.,Sí — comprobación final de legibilidad y caption
2608041,2608041 - Maeve+kael - No me averguenza amar.jpeg,Maeve+kael,No me averguenza amar,1w_hfeLqc6GIJMAIQxDAYhNwvGGVYW9-R,Candidato_Editorial,Tarde/noche o fin de semana,Medio,2026-08-20 19:00,Romance textualmente denso; noche.,Sí — revisar texto final y tono antes de programar
2608042,2608042 - Maeve+kael - Te quiero besiquiar.jpeg,Maeve+kael,Te quiero besiquiar,1Ivlhuok1wM67pH_v4GKtkK3jmImgEy69,Candidato_Editorial,Tarde/noche o fin de semana,Medio,2026-08-23 19:00,Romance afectivo; domingo noche.,Sí — revisar texto final y tono antes de programar
2608043,2608043 - Maeve - No te pedi que me revivieras.jpeg,Maeve,No te pedi que me revivieras,1NxhqrMWz_poAhV56UGqaOXyWzGXHYckC,Candidato_Editorial,Tarde/noche o fin de semana,Medio,2026-08-25 19:00,Remate oscuro; noche.,Sí — revisar texto final y tono antes de programar
2608044,2608044 - Silvio - Sabra dios cuantos ligues.jpeg,Silvio,Sabra dios cuantos ligues,17Xt4bM4aW8GAexJV3CsZ6YeJqNP1rzlj,Candidato_Editorial,Tarde/noche o fin de semana,Medio,2026-08-26 19:00,Humor sobre ligues; noche.,Sí — revisar texto final y tono antes de programar
2608045,2608045 - Kiri+Evan - No te voy a mentir.jpeg,Kiri+Evan,No te voy a mentir,1D1CSEnmeeJk-xhhh7lSKAj-zTnIwAw0f,Candidato_Editorial,Tarde/noche o fin de semana,Medio,2026-08-24 19:00,Romance sugerente; noche.,Sí — revisar texto final y tono antes de programar
2608046,2608046 - Universe - Mis firmas no se parecen.jpeg,Universe,Mis firmas no se parecen,1PNkHfF94nsAWjERNaR_hrJr8xSCOJFNf,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-18 11:00,Absurdismo visual; media mañana.,Sí — comprobación final de legibilidad y caption
2608047,2608047 - Kael - Inolerancia a la lactosa.jpeg,Kael,Inolerancia a la lactosa,1KiPl-GFZXmmNkO5uCnodg7wvOVkOTjqS,Retener_Editorial,Noche/fin de semana; sin asignación hasta aprobación,Alto,SIN_ASIGNAR,Doble sentido sexual; requiere aprobación individual.,Sí — aprobación individual antes de incluir en calendario
2608048,2608048 - Universe - Inalcanzable para todos.jpeg,Universe,Inalcanzable para todos,16LU5FAoBi8xydRNyAOeFZZW2Gf-0nxZR,Candidato,Mañana/media mañana/tarde según slot,Bajo/medio,2026-08-20 10:00,Coqueteo ligero; mañana tardía.,Sí — comprobación final de legibilidad y caption
