meta_post_id,date_local,time_local,content_type,family,character,secondary,role,humor,caption_treatment,confidence,interactions,reactions,comments,shares,asset_ref,message
1036844829507460_122151375843072582,2026-08-21,19:00:05,Image_or_post,Relatable_Social,Universe,,Protagonista,Autodepreciación;Relatable cotidiano,caption_refuerzo,Alta,20,11,2,7,260614 - Universe.png,Analizando mi propio caos. 🧐 #UniverseSentMe
1036844829507460_122154017667072582,2026-08-21,16:30:59,Reel,Character_POV_reveal,Universe,,Protagonista,Relatable cotidiano;Reacción o emoji,caption_minimo,Alta,9,7,1,1,,"Universe viéndote Farmear Aura 

 #UniverseSentMe #UniverseUSM"
1036844829507460_122151375759072582,2026-08-21,13:30:00,Image_or_post,Ácido_Interpersonal,Elara,,Protagonista,Humor ácido o negro;Relatable cotidiano,caption_minimo,Alta,30,21,2,7,2608049 - Elara - Tibio tu cafe.jpeg,☕💌🔥 #ElaraUSM #MemesUSM #UniverseSentMe
1036844829507460_122151375627072582,2026-08-21,11:00:07,Image_or_post,Difusión_Minimal,Universe,,Protagonista,Reacción o emoji,caption_minimo,Alta,63,47,0,16,260635 - Universe.png,🙂‍↔️ #UniverseSentMe
1036844829507460_122151375549072582,2026-08-21,10:00:10,Image_or_post,Relatable_Social,No identificado,,Objeto o concepto,Existencial o absurdo,caption_minimo,Media,57,38,0,19,2607838 - Dios - Quien me creo a mi (29-jun-26).png,☁️✨🤔
1036844829507460_122151375465072582,2026-08-20,19:00:05,Image_or_post,Conversación_Relacional,Maeve,Kael,Dúo o pareja,Relatable cotidiano;Observacional social,caption_minimo,Alta,29,24,2,3,2608041 - Maeve+kael - No me averguenza amar.jpeg,💞🫶✨ #MaeveUSM #KaelUSM #UniverseSentMe
1036844829507460_122153750763072582,2026-08-20,18:04:21,Reel,Sequential_visual_reaction,Evan,Elara,Dúo o pareja,Relatable cotidiano;Observacional social,caption_conversacional,Alta,11,7,1,3,,"Hay personas que se quedan en el retrovisor aunque ya no vayan contigo.

Remote Control — Sussie 4 ft. León Larregui.

¿Qué canción te lleva de vuelta sin pedir permiso?

#UniverseSentMe #EvanUSM #ElaraUSM #MomentosUSM #Sussie4 #leonlarregui"
1036844829507460_122151375375072582,2026-08-20,17:00:13,Image_or_post,Difusión_Minimal,Universe,,Protagonista,Reacción o emoji,caption_minimo,Media,49,35,2,12,260508 - Universe.jpg,🫣 #UniverseSentMe
1036844829507460_122151375303072582,2026-08-20,16:00:03,Image_or_post,Ácido_Interpersonal,Wilfred,,Protagonista,Humor ácido o negro;Observacional social,caption_minimo,Alta,34,22,3,9,2608056 - Wilfred - Analize tu contexto.jpeg,🧠🌲🤨 #WilfredUSM #MemesUSM #UniverseSentMe
1036844829507460_122151375189072582,2026-08-20,13:30:00,Image_or_post,Difusión_Minimal,Universe,,Protagonista,Reacción o emoji,caption_minimo,Media,36,26,5,5,260659 - Universe.png,🤨 #UniverseSentMe
1036844829507460_122151375111072582,2026-08-20,11:00:54,Image_or_post,Personaje_Marcador,Ganso,,Protagonista,Relatable cotidiano;Observacional social,caption_minimo,Alta,78,52,2,24,2608038- Ganso - Mejor pudriendome en dinero.jpeg,💸🪿😂 #GansoUSM #MemesUSM #UniverseSentMe
1036844829507460_122151374997072582,2026-08-20,10:00:23,Image_or_post,Relatable_Social,Universe,,Protagonista,Relatable cotidiano;Reacción o emoji,caption_minimo,Alta,79,53,0,26,2607794 - Universe - Aver.. A ver... (22-jun-26).png,😳🧠🐱 #UniverseUSM #MemesUSM #UniverseSentMe
