meta_id,fecha,interacciones,reacciones,comentarios,shares,caption,visual_signal,probable_stage,valor_fundacional,drive_match_status,next_action
1036844829507460_122134147251072582,2026-06-28,171,121,0,50,"A pesar de mi dislexia, voy a triunfar en todo lo que me poronga",Escenario de nubes y ciudad flotante con texto motivacional,Transición mayo-junio,Medio,Needs_Asset_Match,Cruzar con índices de mayo y junio
1036844829507460_122130196011072582,2026-06-13,164,122,0,42,"La flojera que me da ligar",Universe/gato con gafas junto a versión musculosa,Transición mayo-junio,Alto,Needs_Asset_Match,Cruzar con assets Universe de mayo
1036844829507460_122129404893072582,2026-06-11,155,135,1,19,"Te extraño / y eso? / eso también te extraña",Hombre y hada en diálogo de tres paneles,Transición visual,Alto,Needs_Asset_Match,Buscar carpeta temprana y personajes emergentes
1036844829507460_122125528653072582,2026-06-01,35,26,1,8,"Cómo le harán los psicólogos para no decirte que eso te pasa por pendejo",Fotografía real de paisaje con texto,Etapa temprana o formato paralelo,Medio,Needs_Asset_Match,Comparar con archivos de mayo y posible marzo-abril
1036844829507460_122129952933072582,2026-06-12,27,23,0,4,"A la gente ya no se le caen los billetes en la calle como antes",Dos hombres en escenario fantástico,Transición visual,Medio,Needs_Asset_Match,Revisar origen de personajes humanos
1036844829507460_122130232503072582,2026-06-13,27,25,0,2,"Juntos nos subimos el autoestima y nos bajamos los calzones",Hombre y hada en escena de nubes,Transición visual,Medio,Needs_Asset_Match,Cruzar con etapa de hadas y romance
1036844829507460_122127661851072582,2026-06-06,24,22,0,0,"Mantén tu relación privada, para que puedas tener dos",Fotografía nocturna con texto,Etapa temprana o formato paralelo,Bajo,Needs_Asset_Match,Comparar con archivos de mayo y posible marzo-abril
1036844829507460_122130216549072582,2026-06-13,23,17,0,6,"Emojis usados en chats sospechosos",Infografía de emojis sexuales,Etapa experimental,Medio,Needs_Asset_Match,Revisar contexto y continuidad antes de cualquier reuse
1036844829507460_122128512777072582,2026-06-09,20,17,1,1,"Consejo del día: desaprende",Fotografía de cielo con texto breve,Etapa temprana o formato paralelo,Bajo,Needs_Asset_Match,Comparar con mayo y no atribuir personaje
1036844829507460_122125544019072582,2026-06-01,18,14,2,2,"Lanzando un hechizo para que dejes de valer vrg",Wilfred/gnomo en bosque con hechizo,Formación de personaje,Alto,Needs_Asset_Match,Buscar coincidencia visual en mayo y enriquecer Wilfred
1036844829507460_122129015739072582,2026-06-10,18,16,0,2,"Me acabo de dar cuenta que nunca nadie me ha dicho eres mi mundo",Texto sobre fotografía urbana,Etapa temprana o formato paralelo,Bajo,Needs_Asset_Match,Comparar con mayo y posible marzo-abril
1036844829507460_122125520661072582,2026-06-01,15,13,1,1,"Yo esperando a que se me haga tarde",Universe/gato con gafas en cama con nubes,Transición mayo-junio,Alto,Needs_Asset_Match,Cruzar con assets Universe de mayo
1036844829507460_122125547121072582,2026-06-01,14,12,1,1,"Cómo no vas a poder si hay flores rompiendo el pavimento",Flor luminosa rompiendo piedra en escenario cósmico,Formación estética,Alto,Needs_Asset_Match,Cruzar con mayo y posibles carpetas anteriores
1036844829507460_122127916017072582,2026-06-07,14,11,2,1,"Busco amigos espirituales, raros, locos, tarotistas o hechiceros",Cartel con hada, Wilfred, tarot y territorio esotérico,Formación de personajes y mundo,Alto,Needs_Asset_Match,Cruzar con reglas de Wilfred/Elara y assets de mayo
1036844829507460_122134608507072582,2026-06-30,14,9,3,2,"Ya le entendí a la vida banda",Ganso con traje en escena cósmica,Formación de personaje,Alto,Needs_Asset_Match,Cruzar con assets tempranos de Ganso y mayo
