Overlay_ID,Fecha,Hora,Archivo,Tipo_Contenido_Original,Family_ID_Provisional,Family_ID_Final,Family_Name_Final,Caption_Treatment_Propuesto,Primary_Metric,Visual_Review_Status,Visual_Identity_Confirmed,Risk_Flag,Overlay_Eligibility,P0_Eligible,Affiliate_Attachment,Reuse_Status,Calendar_Change,Approval_Status,Rationale
OVR-001,2026-08-22,10:00,2608050 - Universe - A ponerse en forma.jpeg,Nueva,FAM-01,FAM-01,Difusión_Minimal,caption_minimo,Shares,Reviewed_Eligible,Yes,None,Eligible,No,No,New_Test,None,Pending,Remate visual claro y marcador de Universe visible; el caption mínimo no necesita explicar la imagen.
OVR-002,2026-08-23,10:00,2608035- Maeve - La necesidad de enloquecer.jpeg,Nueva,FAM-01,FAM-02,Relatable_Social,caption_refuerzo,Shares,Reviewed_Eligible,Yes,Text_Dense,Eligible,No,No,New_Test,None,Pending,La imagen comunica estrés/desborde cotidiano con Maeve; funciona mejor como situación relatable que como difusión mínima pura.
OVR-003,2026-08-30,10:00,2608054 - Maeve - Salgamos a hablar de todo.jpeg,Nueva,FAM-01,FAM-03,Conversación_Relacional,caption_conversacional,Comments_Replies,Candidate_Review,Yes,Romantic_Text_Dense,Candidate_Review,No,No,New_Test,None,Pending,Hay relación afectiva pero no intercambio visual; no usar como conversación comparable sin aceptar una subcelda de romance textual.
OVR-004,2026-08-24,17:00,2608053 - Universe - Quieras o no.jpeg,Nueva,FAM-02,FAM-05,Personaje_Marcador,caption_minimo,Shares,Editorial_Hold,Yes,Coercive_Romance_Prop_Weapon,Hold,No,No,New_Test,None,Approved_Excluded,Excluido por aprobación de Fernando; conservar en el registro histórico; fuera de Wave 1 y sin modificar el calendario.
OVR-005,2026-08-25,19:00,2608043 - Maeve - No te pedi que me revivieras.jpeg,Nueva,FAM-02,FAM-02,Relatable_Social,caption_refuerzo,Shares,Reviewed_Eligible,Yes,Dark_Comedy,Eligible,No,No,New_Test,None,Pending,Remate oscuro de experiencia relacional; puede probarse como relatable si se mantiene sin intensificar el tono.
OVR-006,2026-08-26,16:00,2608058 - Silvio - Tiene que dar tranquilidad.jpeg,Nueva,FAM-02,FAM-02,Relatable_Social,caption_conversacional,Shares,Reviewed_Eligible,Yes,Anxiety_Comedy,Eligible,No,No,New_Test,None,Pending,Contraste de dos paneles sobre ansiedad social; puede abrir identificación; pero no debe tratarse como diálogo ácido.
OVR-007,2026-08-21,13:30,2608049 - Elara - Tibio tu cafe.jpeg,Nueva,FAM-03,FAM-02,Relatable_Social,caption_minimo,Shares,Candidate_Review,Yes,Monologue_Text_Dense,Candidate_Review,No,No,New_Test,None,Pending,Monólogo afectivo con escena fantástica; no hay conversación visual y el texto ocupa la mayor parte del remate.
OVR-008,2026-08-27,11:00,2608042 - Maeve+kael - Te quiero besiquiar.jpeg,Nueva,FAM-03,FAM-03,Conversación_Relacional,caption_minimo,Comments_Replies,Reviewed_Eligible,Yes,Romantic_Sexual_Low,Eligible,No,No,New_Test,None,Pending,Pareja con globo de texto y tensión relacional clara; mantener el caption sin intensificar el doble sentido.
OVR-009,2026-08-29,10:00,2608045 - Kiri+Evan - No te voy a mentir.jpeg,Nueva,FAM-03,FAM-03,Conversación_Relacional,caption_refuerzo,Comments_Replies,Candidate_Review,Yes,Romantic_Text_Dense,Candidate_Review,No,No,New_Test,None,Pending,Pareja visible y texto afectivo; pero sin turnos de conversación; usar solo si la subcelda relacional amplia se aprueba.
OVR-010,2026-08-26,11:00,2608065 - Fantasma - Pedazo de socrates.jpeg,Nueva,FAM-04,FAM-05,Personaje_Marcador,caption_minimo,Shares,Candidate_Review,Yes,Existential_Observation,Candidate_Review,No,No,New_Test,None,Pending,Fantasma está visualmente confirmado; pero el humor es observacional/existencial y no ácido interpersonal.
OVR-011,2026-08-27,16:00,2608064 - Universe - Quieren hacer pendejo al que nacio asi.jpeg,Nueva,FAM-04,FAM-04,Ácido_Interpersonal,caption_refuerzo,Shares,Reviewed_Eligible,Yes,Strong_Language,Eligible,No,No,New_Test,None,Pending,Remate ácido con destinatario social implícito; requiere conservar el lenguaje aprobado y no añadir agresividad en el caption.
OVR-012,2026-08-27,19:00,2608055 - Kiri - Parezco normal.jpeg,Nueva,FAM-04,FAM-02,Relatable_Social,caption_conversacional,Shares,Reviewed_Eligible,Yes,Anxiety_Dark,Eligible,No,No,New_Test,None,Pending,Observación relatable sobre ansiedad y monstruos; no es ácido interpersonal; pero puede probar identificación con caption conversacional moderado.
OVR-013,2026-08-23,16:00,2608057 - Fantasma - Sabes que me caeria bien.jpeg,Nueva,FAM-05,FAM-05,Personaje_Marcador,caption_minimo,Shares,Reviewed_Eligible,Yes,Sexual_Double_Entendre,Eligible,No,No,New_Test,None,Pending,Fantasma y sus gafas están confirmados; conservar etiqueta de doble sentido para no atribuir el resultado solo al personaje.
OVR-014,2026-08-26,19:00,2608044 - Silvio - Sabra dios cuantos ligues.jpeg,Nueva,FAM-05,FAM-05,Personaje_Marcador,caption_refuerzo,Shares,Reviewed_Eligible,Yes,Romantic_Sexual_Reference,Eligible,No,No,New_Test,None,Pending,Silvio está visible y el marcador es claro; separar el posible efecto del tema de ligues del efecto de identidad.
OVR-015,2026-08-28,13:30,2608059 - Kael - Si la vida te da limones.jpeg,Nueva,FAM-05,FAM-05,Personaje_Marcador,caption_conversacional,Shares,Editorial_Hold,Yes,Explicit_Sexual_Double_Entendre,Hold,No,No,New_Test,None,Approved_Excluded,Excluido por aprobación de Fernando; conservar en el registro histórico; fuera de Wave 1 y sin modificar el calendario.
